p_prob;p_lie;p_error;s_prob;s_lie;s_error;pg;pm;pn
3.0308377283950646e-10;True;IXXX;3.0308377283950646e-10;True;IZZZ;0.002;0.002;0.1
3.0308377283950646e-10;False;IXXX;3.0308377283950646e-10;False;IZZZ;;;
3.0308377283950646e-10;True;IYYY;3.0308377283950646e-10;True;IYYY;;;
3.0308377283950646e-10;False;IYYY;3.0308377283950646e-10;False;IYYY;;;
9.092513185185193e-10;True;IXYY;9.092513185185193e-10;True;IZYY;;;
9.092513185185193e-10;False;IXYY;9.092513185185193e-10;False;IZYY;;;
9.092513185185194e-10;True;IXXY;9.092513185185194e-10;True;IZZY;;;
9.092513185185194e-10;False;IXXY;9.092513185185194e-10;False;IZZY;;;
1.988289015171439e-09;True;IXXZ;1.988289015171439e-09;True;IZZX;;;
1.988289015171439e-09;False;IXXZ;1.988289015171439e-09;False;IZZX;;;
1.988289015171439e-09;True;IYYZ;1.988289015171439e-09;True;IYYX;;;
1.988289015171439e-09;False;IYYZ;1.988289015171439e-09;False;IYYX;;;
3.976578030342878e-09;True;IXYZ;3.976578030342878e-09;True;IZYX;;;
3.976578030342878e-09;False;IXYZ;3.976578030342878e-09;False;IZYX;;;
8.495255707774214e-07;True;IIXX;8.495255707774214e-07;True;IIZZ;;;
8.495255707774214e-07;False;IIXX;8.495255707774214e-07;False;IIZZ;;;
8.495255707774214e-07;True;IIYY;8.495255707774214e-07;True;IIYY;;;
8.495255707774214e-07;False;IIYY;8.495255707774214e-07;False;IIYY;;;
1.6990511415548429e-06;True;IIXY;1.6990511415548429e-06;True;IIZY;;;
1.6990511415548429e-06;False;IIXY;1.6990511415548429e-06;False;IIZY;;;
3.724065325415989e-06;True;IIXZ;3.724065325415989e-06;True;IIZX;;;
3.724065325415989e-06;False;IIXZ;3.724065325415989e-06;False;IIZX;;;
3.724065325415989e-06;True;IIYZ;3.724065325415989e-06;True;IIYX;;;
3.724065325415989e-06;False;IIYZ;3.724065325415989e-06;False;IIYX;;;
2.674600359907353e-05;True;IIZZ;2.674600359907353e-05;True;IIXX;;;
6.329704649091217e-05;False;IIZZ;6.329704649091217e-05;False;IIXX;;;
0.0010595329076022683;True;IIIX;0.0010595329076022683;True;IIIZ;;;
0.0010595329076022683;False;IIIX;0.0010595329076022683;False;IIIZ;;;
0.0010595329076022683;True;IIIY;0.0010595329076022683;True;IIIY;;;
0.0010595329076022683;False;IIIY;0.0010595329076022683;False;IIIY;;;
0.002245391071495722;True;IIIZ;0.002245391071495722;True;IIIX;;;
0.0022846677647202253;False;IIIZ;0.0022846677647202253;False;IIIX;;;
0.032460115371003656;True;IIII;0.032460115371003656;True;IIII;;;
0.9586599378894667;False;IIII;0.9586599378894667;False;IIII;;;
