p_prob;p_lie;p_error;s_prob;s_lie;s_error
7.999999999999997e-12;True;XXXX;7.999999999999997e-12;True;ZZZZ
7.999999999999997e-12;False;XXXX;7.999999999999997e-12;False;ZZZZ
7.999999999999997e-12;True;YYYY;7.999999999999997e-12;True;YYYY
7.999999999999997e-12;False;YYYY;7.999999999999997e-12;False;YYYY
3.1999999999999986e-11;True;XXXY;3.1999999999999986e-11;True;ZZZY
3.1999999999999986e-11;False;XXXY;3.1999999999999986e-11;False;ZZZY
3.1999999999999986e-11;True;XYYY;3.1999999999999986e-11;True;ZYYY
3.1999999999999986e-11;False;XYYY;3.1999999999999986e-11;False;ZYYY
4.799999999999998e-11;True;XXYY;4.799999999999998e-11;True;ZZYY
4.799999999999998e-11;False;XXYY;4.799999999999998e-11;False;ZZYY
1.593599999999999e-08;True;IXXX;1.593599999999999e-08;True;IZZZ
1.593599999999999e-08;False;IXXX;1.593599999999999e-08;False;IZZZ
1.593599999999999e-08;True;IYYY;1.593599999999999e-08;True;IYYY
1.593599999999999e-08;False;IYYY;1.593599999999999e-08;False;IYYY
4.7807999999999974e-08;True;IXXY;4.7807999999999974e-08;True;IZZY
4.7807999999999974e-08;False;IXXY;4.7807999999999974e-08;False;IZZY
4.7807999999999974e-08;True;IXYY;4.7807999999999974e-08;True;IZYY
4.7807999999999974e-08;False;IXYY;4.7807999999999974e-08;False;IZYY
1.060044693867016e-07;True;IXXZ;1.060044693867016e-07;True;IZZX
1.060044693867016e-07;False;IXXZ;1.060044693867016e-07;False;IZZX
1.060044693867016e-07;True;IYYZ;1.060044693867016e-07;True;IYYX
1.060044693867016e-07;False;IYYZ;1.060044693867016e-07;False;IYYX
2.120089387734032e-07;True;IXYZ;2.120089387734032e-07;True;IZYX
2.120089387734032e-07;False;IXYZ;2.120089387734032e-07;False;IZYX
1.1798187530613294e-05;True;IIXX;1.1798187530613294e-05;True;IIZZ
1.1798187530613294e-05;False;IIXX;1.1798187530613294e-05;False;IIZZ
1.1798187530613294e-05;True;IIYY;1.1798187530613294e-05;True;IIYY
1.1798187530613294e-05;False;IIYY;1.1798187530613294e-05;False;IIYY
2.3596375061226592e-05;True;IIXY;2.3596375061226592e-05;True;IIZY
2.3596375061226592e-05;False;IIXY;2.3596375061226592e-05;False;IIZY
5.279022575457733e-05;True;IIXZ;5.279022575457733e-05;True;IIZX
5.279022575457733e-05;False;IIXZ;5.279022575457733e-05;False;IIZX
5.279022575457733e-05;True;IIYZ;5.279022575457733e-05;True;IIYX
5.279022575457733e-05;False;IIYZ;5.279022575457733e-05;False;IIYX
0.0001847526337196018;True;IIZZ;0.0001847526337196018;True;IIXX
0.00024703236371580173;False;IIZZ;0.00024703236371580173;False;IIXX
0.0038994015182454217;True;IIIX;0.0038994015182454217;True;IIIZ
0.0038994015182454217;False;IIIX;0.0038994015182454217;False;IIIZ
0.0038994015182454217;True;IIIY;0.0038994015182454217;True;IIIY
0.0038994015182454217;False;IIIY;0.0038994015182454217;False;IIIY
0.00843413264021521;True;IIIZ;0.00843413264021521;True;IIIX
0.008516508980390778;False;IIIZ;0.008516508980390778;False;IIIX
0.07202270729002314;True;IIII;0.07202270729002314;True;IIII
0.8946906103479355;False;IIII;0.8946906103479355;False;IIII
