decoherence;lde_success;probabilistic;measurement_duration;lde_duration;use_swap_gates;network_noise_type;T1_idle;T2_idle;T1_lde;T2_lde;T1_idle_electron;T2_idle_electron;gate;pg;pm;pn;pm_1;fixed_lde_attempts;pulse_duration;noise;basis_transformation_noise;no_single_qubit_error;avg_duration;avg_fidelity;dur_std;fid_entanglement;fid_int;fid_sem;fid_std_l;fid_std_r;iterations;node
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.01;0.01;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08650513918226917;0.32006998401197223;(0.037132, 0.13657);0.15008748001496358;(0.06250592675766149, 0.24679296449939192);0.0007691987364418374;0.07006524260584324;0.07736438758754116;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.01;0.01;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.11372382089134264;0.32071968048200794;(0.051504, 0.17600400000000002);0.15089960060251079;(0.06250684498836627, 0.25165748347949496);0.0007707861235113472;0.07071420449131482;0.0806063063015881;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.0;0.1;0.0;0;0.0;True;False;True;0.08640720447271566;0.35583672607933353;(0.036926, 0.13651200000000002);0.19479590759916388;(0.06320879144653273, 0.37426983760544086);0.0009193316684140792;0.1052696929221072;0.1435791440050193;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.0;0.1;0.0;2000;0.001;True;False;True;0.11462063534165466;0.35538278656082173;(0.051504, 0.17650000000000002);0.19422848320102634;(0.06317422254199612, 0.36886555200786725);0.000919299971709278;0.1048434085272244;0.13970965504547245;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.01;0.05;0.01;0;0.0;True;False;True;0.08639351724275884;0.3564989681322831;(0.036934, 0.135934);0.19562371016535263;(0.06321877058542197, 0.37745165792605007);0.0009285399495640498;0.10592395166394458;0.14546235820855785;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.01;0.05;0.01;2000;0.001;True;False;True;0.11473278644583135;0.3552087276917244;(0.051504, 0.17600400000000002);0.1940109096146547;(0.06316920969226758, 0.37229564552395217);0.0009185656634274188;0.10467335993790977;0.14262778872743787;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.01;0.05;0.05;0;0.0;True;False;True;0.08647642706833095;0.35157549201856336;(0.037086, 0.136656);0.18946936502320336;(0.06318126362969362, 0.35961415682804887);0.0008826508378017129;0.10103048111480817;0.136115833443876;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.01;0.05;0.05;2000;0.001;True;False;True;0.11435148199711953;0.35288220408518695;(0.051504, 0.17600400000000002);0.19110275510648442;(0.06317480047414878, 0.36628373051114443);0.0008902339384621898;0.10234236370586797;0.1401447803237285;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.01;0.1;0.01;0;0.0;True;False;True;0.08661989726356217;0.3528595565222082;(0.037124, 0.13663);0.19107444565276238;(0.06319466051768509, 0.3639062954200106);0.0008944952642881009;0.1023038281080606;0.13826547981379972;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.0;0.01;0.1;0.01;2000;0.001;True;False;True;0.11500935585693711;0.35247257876529803;(0.051504, 0.17650000000000002);0.19059072345662095;(0.0631643952044722, 0.36268873764016135);0.0008955015798598311;0.1019410626017207;0.13767841134683056;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.001;0.001;0.1;0.001;0;0.0;True;False;True;0.08636526280204833;0.3554304113974435;(0.036836, 0.13689400000000002);0.19428801424680534;(0.06319135264045263, 0.3764509885278168);0.0009128945333315181;0.10487732928508176;0.14573037942480954;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.001;0.001;0.1;0.001;2000;0.001;True;False;True;0.11468919491118582;0.3547520985447871;(0.051504, 0.17600400000000002);0.1934401231809838;(0.06318553533510993, 0.3709934237203938);0.0009121534879507101;0.10420367027669952;0.14204264043152753;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.001;0.01;0.05;0.01;0;0.0;True;False;True;0.08688976432229159;0.35438422521922475;(0.037233999999999996, 0.13806600000000002);0.1929802815240308;(0.06314638320612431, 0.36744178794473664);0.0009121653189291858;0.10386711865432546;0.13956920513656446;49992.0;Natural Abundance
