error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.049403377721471554;0.049403377721471554;1.0;14.0;14.0;23.025;23.025;0.9590832608686657;dyn_prot_4_14_1;[20, 18, 16, 14];0.00625;0.00625;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.9146691237093991;0.9146691237093991;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0032398730934198854;0.009133745763343814;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0032398730934198854;0.00946446824335688;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0032398730934198854;0.0032398730934198854;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0032398730934198854;0.0032398730934198854;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.009133745763343814;0.0032398730934198854;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.00946446824335688;0.0032398730934198854;;;;;;;;;;;;;;;;;;;;;
IIXX;True;8.177138105764292e-06;0.0018041689191721712;;;;;;;;;;;;;;;;;;;;;
IIXX;False;8.177138105764292e-06;0.002258300951898568;;;;;;;;;;;;;;;;;;;;;
IIXY;True;1.6354276211528584e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;1.6354276211528584e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;6.023789423443577e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;6.023789423443577e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;6.023789423443577e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;6.023789423443577e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;8.177138105764292e-06;8.177138105764292e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;8.177138105764292e-06;8.177138105764292e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;6.023789423443577e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;6.023789423443577e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;6.023789423443577e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;6.023789423443577e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;1.6354276211528584e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;1.6354276211528584e-05;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0018041689191721712;8.177138105764292e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.002258300951898568;8.177138105764292e-06;;;;;;;;;;;;;;;;;;;;;
