error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.05637127126283378;0.05637127126283378;1.0;22.0;22.0;33.0;33.0;0.9575210380166951;expedient;[18, 16, 14, 12];0.00525;0.00525;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.920366751646741;0.920366751646741;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0027508663474467665;0.005895462224914347;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0027508663474467665;0.005958048528094784;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0027508663474467665;0.0027508663474467665;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0027508663474467665;0.0027508663474467665;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.005895462224914347;0.0027508663474467665;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.005958048528094784;0.0027508663474467665;;;;;;;;;;;;;;;;;;;;;
IIXX;True;5.8110659271957e-06;0.00010219298047039343;;;;;;;;;;;;;;;;;;;;;
IIXX;False;5.8110659271957e-06;0.00015322561041135677;;;;;;;;;;;;;;;;;;;;;
IIXY;True;1.16221318543914e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;1.16221318543914e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;2.567944708763388e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;2.567944708763388e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;2.567944708763388e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;2.567944708763388e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;5.8110659271957e-06;5.8110659271957e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;5.8110659271957e-06;5.8110659271957e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;2.567944708763388e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;2.567944708763388e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;2.567944708763388e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;2.567944708763388e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;1.16221318543914e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;1.16221318543914e-05;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.00010219298047039343;5.8110659271957e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.00015322561041135677;5.8110659271957e-06;;;;;;;;;;;;;;;;;;;;;
