error_config;lie;p;s;pg;pm;pn;p_dec;ts;p_bell;bell_dur;meas_dur;written_to;lde_attempts;total_duration;avg_lde;avg_duration
IIII;False;0.920366751646741;0.920366751646741;0.00525;0.00525;0.1;0.0;0.0;1.0;1.0;1.0;1.0;22.0;33.0;22.0;33.0
IIIX;False;0.0027508663474467665;0.005958048528094784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIY;False;0.0027508663474467665;0.0027508663474467665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIZ;False;0.005958048528094784;0.0027508663474467665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXX;False;5.8110659271957e-06;0.00015322561041135677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXY;False;1.16221318543914e-05;2.567944708763388e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXZ;False;2.567944708763388e-05;2.567944708763388e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYY;False;5.8110659271957e-06;5.8110659271957e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYZ;False;2.567944708763388e-05;1.16221318543914e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIZZ;False;0.00015322561041135677;5.8110659271957e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIII;True;0.05637127126283378;0.05637127126283378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIX;True;0.0027508663474467665;0.005895462224914347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIY;True;0.0027508663474467665;0.0027508663474467665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIZ;True;0.005895462224914347;0.0027508663474467665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXX;True;5.8110659271957e-06;0.00010219298047039343;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXY;True;1.16221318543914e-05;2.567944708763388e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXZ;True;2.567944708763388e-05;2.567944708763388e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYY;True;5.8110659271957e-06;5.8110659271957e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYZ;True;2.567944708763388e-05;1.16221318543914e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIZZ;True;0.00010219298047039343;5.8110659271957e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
