p_prob;p_lie;p_error;s_prob;s_lie;s_error;pg;pm;pn
6.0706765432098724e-12;True;XXXX;6.0706765432098724e-12;True;ZZZZ;0.007;0.007;0.1
6.0706765432098724e-12;False;XXXX;6.0706765432098724e-12;False;ZZZZ
6.0706765432098724e-12;True;YYYY;6.0706765432098724e-12;True;YYYY
6.0706765432098724e-12;False;YYYY;6.0706765432098724e-12;False;YYYY
2.428270617283949e-11;True;XXXY;2.428270617283949e-11;True;ZZZY
2.428270617283949e-11;False;XXXY;2.428270617283949e-11;False;ZZZY
2.428270617283949e-11;True;XYYY;2.428270617283949e-11;True;ZYYY
2.428270617283949e-11;False;XYYY;2.428270617283949e-11;False;ZYYY
3.642405925925923e-11;True;XXYY;3.642405925925923e-11;True;ZZYY
3.642405925925923e-11;False;XXYY;3.642405925925923e-11;False;ZZYY
1.2960027180246914e-08;True;IXXX;1.2960027180246914e-08;True;IZZZ
1.2960027180246914e-08;False;IXXX;1.2960027180246914e-08;False;IZZZ
1.2960027180246914e-08;True;IYYY;1.2960027180246914e-08;True;IYYY
1.2960027180246914e-08;False;IYYY;1.2960027180246914e-08;False;IYYY
3.888008154074074e-08;True;IXXY;3.888008154074074e-08;True;IZZY
3.888008154074074e-08;False;IXXY;3.888008154074074e-08;False;IZZY
3.888008154074074e-08;True;IXYY;3.888008154074074e-08;True;IZYY
3.888008154074074e-08;False;IXYY;3.888008154074074e-08;False;IZYY
8.600929796321607e-08;True;IXXZ;8.600929796321607e-08;True;IZZX
8.600929796321607e-08;False;IXXZ;8.600929796321607e-08;False;IZZX
8.600929796321607e-08;True;IYYZ;8.600929796321607e-08;True;IYYX
8.600929796321607e-08;False;IYYZ;8.600929796321607e-08;False;IYYX
1.7201859592643213e-07;True;IXYZ;1.7201859592643213e-07;True;IZYX
1.7201859592643213e-07;False;IXYZ;1.7201859592643213e-07;False;IZYX
1.0289418176051594e-05;True;IIXX;1.0289418176051594e-05;True;IIZZ
1.0289418176051594e-05;False;IIXX;1.0289418176051594e-05;False;IIZZ
1.0289418176051594e-05;True;IIYY;1.0289418176051594e-05;True;IIYY
1.0289418176051594e-05;False;IIYY;1.0289418176051594e-05;False;IIYY
2.057883635210319e-05;True;IIXY;2.057883635210319e-05;True;IIZY
2.057883635210319e-05;False;IIXY;2.057883635210319e-05;False;IIZY
4.590439102722617e-05;True;IIXZ;4.590439102722617e-05;True;IIZX
4.590439102722617e-05;False;IIXZ;4.590439102722617e-05;False;IIZX
4.590439102722617e-05;True;IIYZ;4.590439102722617e-05;True;IIYX
4.590439102722617e-05;False;IIYZ;4.590439102722617e-05;False;IIYX
0.00016417508271465361;True;IIZZ;0.00016417508271465361;True;IIXX
0.00022387138409848614;False;IIZZ;0.00022387138409848614;False;IIXX
0.0036457715178222355;True;IIIX;0.0036457715178222355;True;IIIZ
0.0036457715178222355;False;IIIX;0.0036457715178222355;False;IIIZ
0.0036457715178222355;True;IIIY;0.0036457715178222355;True;IIIY
0.0036457715178222355;False;IIIY;0.0036457715178222355;False;IIIY
0.007869052169124436;True;IIIZ;0.007869052169124436;True;IIIX
0.00794677205395496;False;IIIZ;0.00794677205395496;False;IIIX
0.06860774098895811;True;IIII;0.06860774098895811;True;IIII
0.9003384737112629;False;IIII;0.9003384737112629;False;IIII
