error_config;lie;p;s;pg;pm;pn;p_dec;ts;p_bell;bell_dur;meas_dur;written_to;lde_attempts;total_duration;avg_lde;avg_duration
IIII;False;0.936397562496535;0.936397562496535;0.0066;0.0066;0.1;0.0;0.0;1.0;1.0;1.0;1.0;42.0;63.0;42.0;63.0
IIIX;False;0.0034510133961890913;0.005923958463733933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIY;False;0.0034510133961890913;0.0034510133961890913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIZ;False;0.005923958463733933;0.0034510133961890913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXX;False;9.171070094434962e-06;0.0001572458319903866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXY;False;1.834214018886992e-05;3.194609291289658e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXZ;False;3.194609291289658e-05;3.194609291289658e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYY;False;9.171070094434962e-06;9.171070094434962e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYZ;False;3.194609291289658e-05;1.834214018886992e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIZZ;False;0.0001572458319903866;9.171070094434962e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIII;True;0.03761273602985026;0.03761273602985026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIX;True;0.0034510133961890913;0.0058369258790266125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIY;True;0.0034510133961890913;0.0034510133961890913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIZ;True;0.0058369258790266125;0.0034510133961890913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXX;True;9.171070094434962e-06;6.573939555370762e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXY;True;1.834214018886992e-05;3.194609291289658e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXZ;True;3.194609291289658e-05;3.194609291289658e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYY;True;9.171070094434962e-06;9.171070094434962e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYZ;True;3.194609291289658e-05;1.834214018886992e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIZZ;True;6.573939555370762e-05;9.171070094434962e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
