L,p,GHZ_success,N,success
8,0.0015,1.1,10008.0,7551.0
8,0.00175,1.1,10008.0,5437.0
8,0.002,1.1,10008.0,3371.0
8,0.00225,1.1,10008.0,1833.0
8,0.0025,1.1,10008.0,1078.0
8,0.00275,1.1,10008.0,751.0
12,0.0015,1.1,10032.0,9051.0
12,0.00175,1.1,10008.0,7101.0
12,0.002,1.1,10032.0,6238.0
12,0.00225,1.1,10008.0,2005.0
12,0.0025,1.1,10032.0,891.0
12,0.00275,1.1,10008.0,713.0
16,0.00175,1.1,10080.0,8279.0
16,0.002,1.1,10080.0,5066.0
16,0.00225,1.1,10080.0,1938.0
16,0.0025,1.1,8064.0,675.0
16,0.00275,1.1,0.0,0.0
20,0.00175,1.1,10080.0,8955.0
20,0.002,1.1,8064.0,4353.0
20,0.00225,1.1,0.0,0.0
20,0.0025,1.1,0.0,0.0
20,0.00275,1.1,0.0,0.0
