L,p,GHZ_success,N,success
8,0.008,1.1,10008.0,1251.0
8,0.0085,1.1,10008.0,890.0
8,0.009,1.1,10008.0,727.0
8,0.0095,1.1,10008.0,656.0
8,0.01,1.1,10008.0,675.0
12,0.008,1.1,10008.0,1515.0
12,0.0085,1.1,10008.0,1020.0
12,0.009,1.1,10008.0,741.0
12,0.0095,1.1,10008.0,648.0
12,0.01,1.1,10008.0,606.0
16,0.008,1.1,10080.0,1633.0
16,0.0085,1.1,10080.0,889.0
16,0.009,1.1,10080.0,666.0
16,0.0095,1.1,10080.0,609.0
16,0.01,1.1,10080.0,621.0
20,0.008,1.1,10074.0,1602.0
20,0.0085,1.1,10074.0,862.0
20,0.009,1.1,10074.0,682.0
20,0.0095,1.1,10074.0,643.0
20,0.01,1.1,10074.0,626.0
