error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts;T1_idle;T1_idle_electron;T1_lde;T2_idle;T2_idle_electron;T2_lde;int_stab_682;int_ghz_682;int_dur_682;dur_99
IIII;False;0.02052235511671995;0.02052235511671995;10909.0;9006358939.0;825589.7826565221;480596.03972689976;44.05500409999998;0.5792777803026014;expedient_swap;[18, 16, 14, 12];0.01;0.01;0.05;0.05;True;0.0001;0.013;1.0;True;False;44.055004100000005;True;2000.0;300.0;10000.0;2.0;10.0;1.0;2.0;(0.007637668916096596, 0.03479772179145188);(0.5238114150089522, 0.6355935198962404);(44.055004100000005, 44.055004100000005);44.055004100000005
IIII;True;0.013355590002702353;0.013355590002702353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.004735774701820992;0.01988220689219038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.007080768274326686;0.012984202167722869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.004735774701820992;0.004735774701820992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.007080768274326686;0.007080768274326686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.01988220689219038;0.004735774701820992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.012984202167722869;0.007080768274326686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;False;0.0047328609677088004;0.01988202442895787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;True;0.007074600463791526;0.012984148379474815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;False;0.003248041520245773;0.00983132916951369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;True;0.0022016708593951355;0.006426107759054294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;False;0.003248041520245773;0.004664770539167878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;True;0.0022016708593951355;0.006963639986590443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;0.004662003117101719;0.004664770539167878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;0.006957772346911443;0.006963639986590443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;False;0.0047328609677088004;0.0047328609677088004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;True;0.007074600463791526;0.007074600463791526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.003248041520245773;0.004662003117101719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0022016708593951355;0.006957772346911443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;False;0.003248041520245773;0.003248041520245773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;True;0.0022016708593951355;0.0022016708593951355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;0.004662003117101719;0.003248041520245773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;0.006957772346911443;0.0022016708593951355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZI;False;0.01988202442895787;0.0047328609677088004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZI;True;0.012984148379474815;0.007074600463791526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.004664770539167878;0.004662003117101719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.006963639986590443;0.006957772346911443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.004664770539167878;0.003248041520245773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.006963639986590443;0.0022016708593951355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.00983132916951369;0.003248041520245773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.006426107759054294;0.0022016708593951355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXII;False;0.0047395969652107885;0.019882299887041353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXII;True;0.007087837773458452;0.01298422239617909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIX;False;0.003137996929559968;0.009846558267859077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIX;True;0.002126965273087432;0.006441956880241674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIY;False;0.003137996929559968;0.004668522742143293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIY;True;0.002126965273087432;0.006966588892775781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIZ;False;0.004672325547094767;0.004668522742143293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIZ;True;0.006973556332216742;0.006966588892775781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXI;False;0.003087286821710295;0.009828246859118159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXI;True;0.002091680807087203;0.006424150758617178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
