error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts;T1_idle;T1_idle_electron;T1_lde;T2_idle;T2_idle_electron;T2_lde;int_stab_682;int_ghz_682;int_dur_682;dur_99
IIII;False;0.022122372717279303;0.022122372717279303;10861.0;8798630340.0;810112.3598195378;332871.45022230153;30.64832430000014;0.5997103721387848;expedient_swap;[18, 16, 14, 12];0.01;0.01;0.05;0.05;True;0.0001;0.0;1.0;True;False;30.64832429999999;True;0.0;300.0;10000.0;2.0;10.0;1.0;2.0;(0.00742352776329926, 0.03932048703025606);(0.5433162637796688, 0.6558350451542624);(30.64832429999999, 30.64832429999999);30.64832429999999
IIII;True;0.013589916519736412;0.013589916519736412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.004545514526988365;0.019650963479206512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.007156794709283435;0.012236057755458947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.004545514526988365;0.004545514526988365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.007156794709283435;0.007156794709283435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.019650963479206512;0.004545514526988365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.012236057755458947;0.007156794709283435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;False;0.004542335844981152;0.0196507805213394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;True;0.007153206475358374;0.012235862545102661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;False;0.003171772818426356;0.009741539875650455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;True;0.002046031043861232;0.006210466622390419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;False;0.003171772818426356;0.004291752728774012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;True;0.002046031043861232;0.006714132886441374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;0.004288733877044125;0.004291752728774012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;0.0067107000443648495;0.006714132886441374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;False;0.004542335844981152;0.004542335844981152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;True;0.007153206475358374;0.007153206475358374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.003171772818426356;0.004288733877044125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.002046031043861232;0.0067107000443648495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;False;0.003171772818426356;0.003171772818426356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;True;0.002046031043861232;0.002046031043861232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;0.004288733877044125;0.003171772818426356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;0.0067107000443648495;0.002046031043861232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZI;False;0.0196507805213394;0.004542335844981152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
