error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts;T1_idle;T1_idle_electron;T1_lde;T2_idle;T2_idle_electron;T2_lde;int_stab_682;int_ghz_682;int_dur_682;dur_99
IIII;False;0.7502538896225152;0.7502538896225152;10877.0;5047493195.0;464051.96239771997;156700.50227170077;14.40659210000007;0.8819357960609169;expedient_swap;[18, 16, 14, 12];0.01;0.01;0.05;0.05;False;0.0001;0.0;1.0;True;False;14.4065921;True;0.0;300.0;10000.0;2.0;10.0;1.0;2.0;(0.7475256109036419, 0.752973643119258);(0.8784551134103071, 0.8853853737920152);(14.4065921, 14.4065921);14.406592100000001
IIII;True;0.14574667091233762;0.14574667091233762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0012278100266154965;0.009978096388894695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0012278100266154965;0.00996762293141314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0012278100266154965;0.0012278100266154965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0012278100266154965;0.0012278100266154965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.009978096388894695;0.0012278100266154965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.00996762293141314;0.0012278100266154965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;False;0.0012278086655771172;0.009977577726405899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;True;0.0012278086655771172;0.00996712625927076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;False;3.3670954665964728e-06;0.0002609266387153637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;True;3.3670954665964728e-06;0.0002542066129666873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;False;3.3670954665964728e-06;2.8116582424987613e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;True;3.3670954665964728e-06;2.8116582424987613e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;2.8117943463367214e-05;2.8116582424987613e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;2.8117943463367214e-05;2.8116582424987613e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;False;0.0012278086655771172;0.0012278086655771172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;True;0.0012278086655771172;0.0012278086655771172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;False;3.3670954665964728e-06;2.8117943463367214e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;True;3.3670954665964728e-06;2.8117943463367214e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;False;3.3670954665964728e-06;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;True;3.3670954665964728e-06;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;2.8117943463367214e-05;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;2.8117943463367214e-05;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZI;False;0.009977577726405899;0.0012278086655771172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZI;True;0.00996712625927076;0.0012278086655771172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZX;False;2.8116582424987613e-05;2.8117943463367214e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZX;True;2.8116582424987613e-05;2.8117943463367214e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZY;False;2.8116582424987613e-05;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZY;True;2.8116582424987613e-05;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.0002609266387153637;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0002542066129666873;3.3670954665964728e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXII;False;0.0012278099541951403;0.009978056710292045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXII;True;0.0012278099541951403;0.009967608584429823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIX;False;3.3674882911277338e-06;0.00028669177714560215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIX;True;3.3674882911277338e-06;0.00028261410422385593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIY;False;3.3674882911277338e-06;2.8263105975148518e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIY;True;3.3674882911277338e-06;2.8263105975148518e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIZ;False;2.8263178395505027e-05;2.8263105975148518e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIZ;True;2.8263178395505027e-05;2.8263105975148518e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXI;False;3.3665791755075515e-06;0.0002216646459920871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXI;True;3.3665791755075515e-06;0.00022166455557233214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXX;False;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXX;True;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXY;False;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXY;True;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXZ;False;7.557579496227414e-08;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXZ;True;7.557579496227414e-08;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYI;False;3.3665791755075515e-06;2.7925366887199343e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYI;True;3.3665791755075515e-06;2.7925366887199343e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYX;False;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYX;True;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYY;False;9.430913580246933e-09;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYY;True;9.430913580246933e-09;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYZ;False;7.557579496227414e-08;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYZ;True;7.557579496227414e-08;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZI;False;2.7924078269176265e-05;2.7925366887199343e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZI;True;2.7924078269176265e-05;2.7925366887199343e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZX;False;7.512123715218199e-08;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZX;True;7.512123715218199e-08;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZY;False;7.512123715218199e-08;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZY;True;7.512123715218199e-08;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZZ;False;0.0;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZZ;True;0.0;7.531764941781323e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYII;False;0.0012278099541951403;0.0012278099541951403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYII;True;0.0012278099541951403;0.0012278099541951403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIX;False;3.3674882911277338e-06;2.8263178395505027e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIX;True;3.3674882911277338e-06;2.8263178395505027e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIY;False;3.3674882911277338e-06;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIY;True;3.3674882911277338e-06;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIZ;False;2.8263178395505027e-05;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIZ;True;2.8263178395505027e-05;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXI;False;3.3665791755075515e-06;2.7924078269176265e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXI;True;3.3665791755075515e-06;2.7924078269176265e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXX;False;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXX;True;9.430913580246933e-09;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXY;False;9.430913580246933e-09;7.512123715218199e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXY;True;9.430913580246933e-09;7.512123715218199e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXZ;False;7.557579496227414e-08;7.512123715218199e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXZ;True;7.557579496227414e-08;7.512123715218199e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYI;False;3.3665791755075515e-06;3.3665791755075515e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYI;True;3.3665791755075515e-06;3.3665791755075515e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYX;False;9.430913580246933e-09;7.557579496227414e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYX;True;9.430913580246933e-09;7.557579496227414e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYY;False;9.430913580246933e-09;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYY;True;9.430913580246933e-09;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYZ;False;7.557579496227414e-08;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYYZ;True;7.557579496227414e-08;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZI;False;2.7924078269176265e-05;3.3665791755075515e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZI;True;2.7924078269176265e-05;3.3665791755075515e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZX;False;7.512123715218199e-08;7.557579496227414e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZX;True;7.512123715218199e-08;7.557579496227414e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZY;False;7.512123715218199e-08;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZY;True;7.512123715218199e-08;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZZ;False;0.0;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYZZ;True;0.0;9.430913580246933e-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZII;False;0.009978056710292045;0.0012278099541951403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZII;True;0.009967608584429823;0.0012278099541951403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZIX;False;2.8263105975148518e-05;2.8263178395505027e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZIX;True;2.8263105975148518e-05;2.8263178395505027e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZIY;False;2.8263105975148518e-05;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZIY;True;2.8263105975148518e-05;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZIZ;False;0.00028669177714560215;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZIZ;True;0.00028261410422385593;3.3674882911277338e-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZXI;False;2.7925366887199343e-05;2.7924078269176265e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IZXI;True;2.7925366887199343e-05;2.7924078269176265e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
