error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts;T1_idle;T1_idle_electron;T1_lde;T2_idle;T2_idle_electron;T2_lde;int_stab_682;int_ghz_682;int_dur_682;dur_99
IIII;False;0.054042970432890844;0.054042970432890844;9984.0;8642766651.0;865661.7238581731;110627.89293439999;11.080518122435896;0.5796574028145591;expedient_swap;[18, 16, 14, 12];0.01;0.01;0.05;0.05;True;0.0001;0.013;1.0;True;False;inf;True;2000.0;300.0;10000.0;2.0;10.0;1.0;2.0;(0.007960294914567258, 0.11256113107511531);(0.523286327452009, 0.6354036711883384);(3.8730041, 18.19200410000001);44.055004100000005
IIII;True;0.03252528030958517;0.03252528030958517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.007073866275327703;0.017443151272696678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.011014506591656651;0.01165525657749484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.007073866275327703;0.007073866275327703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.011014506591656651;0.011014506591656651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.017443151272696678;0.007073866275327703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.01165525657749484;0.011014506591656651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;False;0.007051872902549301;0.017406445200707835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;True;0.010977661988488853;0.011630437744980794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;False;0.003676682261578528;0.005308977487558435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;True;0.002456534104375222;0.0036676497852456747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;False;0.003676682261578528;0.0038198172063594682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;True;0.002456534104375222;0.00560399228675634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;0.0038186173742468;0.0038198172063594682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;0.0056017456636709186;0.00560399228675634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;False;0.007051872902549301;0.007051872902549301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;True;0.010977661988488853;0.010977661988488853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.003676682261578528;0.0038186173742468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.002456534104375222;0.0056017456636709186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;False;0.003676682261578528;0.003676682261578528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;True;0.002456534104375222;0.002456534104375222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;0.0038186173742468;0.003676682261578528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;0.0056017456636709186;0.002456534104375222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
