error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts;T1_idle;T1_idle_electron;T1_lde;T2_idle;T2_idle_electron;T2_lde;int_stab_682;int_ghz_682;int_dur_682;dur_99
IIII;False;0.06089274224986677;0.06089274224986677;9984.0;8504625271.0;851825.4478165064;80338.3289994;8.046707632151442;0.6001268229828856;expedient_swap;[18, 16, 14, 12];0.01;0.01;0.05;0.05;True;0.0001;0.0;1.0;True;False;inf;True;0.0;300.0;10000.0;2.0;10.0;1.0;2.0;(0.00836281054680002, 0.1295952452383842);(0.5430899535328277, 0.6566872636194178);(2.8252617999999994, 13.442469199999994);30.64832429999999
IIII;True;0.03363874755865489;0.03363874755865489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.00708240071351567;0.0173787151727626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.011923649349060567;0.010908565206050201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.00708240071351567;0.00708240071351567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.011923649349060567;0.011923649349060567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.0173787151727626;0.00708240071351567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.010908565206050201;0.011923649349060567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;False;0.007099157869439112;0.0174052199842467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXI;True;0.01195385174337708;0.010924008767920065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;False;0.0038538785406902064;0.004972426518009144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXX;True;0.002395340933365263;0.0032458496110944245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;False;0.0038538785406902064;0.0035438293995251314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXY;True;0.002395340933365263;0.005539088296867963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;0.003545683399587671;0.0035438293995251314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;0.005541536340086209;0.005539088296867963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;False;0.007099157869439112;0.007099157869439112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYI;True;0.01195385174337708;0.01195385174337708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0038538785406902064;0.003545683399587671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.002395340933365263;0.005541536340086209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;False;0.0038538785406902064;0.0038538785406902064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYY;True;0.002395340933365263;0.002395340933365263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;0.003545683399587671;0.0038538785406902064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;0.005541536340086209;0.002395340933365263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZI;False;0.0174052199842467;0.007099157869439112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZI;True;0.010924008767920065;0.01195385174337708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0035438293995251314;0.003545683399587671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.005539088296867963;0.005541536340086209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0035438293995251314;0.0038538785406902064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.005539088296867963;0.002395340933365263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.004972426518009144;0.0038538785406902064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0032458496110944245;0.002395340933365263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXII;False;0.007094113661316049;0.01739282238273695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXII;True;0.011942759695005382;0.010916389886853282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIX;False;0.0037357198838631448;0.005848392664228554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIX;True;0.002339860450357432;0.004146511292736444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIY;False;0.0037357198838631448;0.0037563159065676674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIY;True;0.002339860450357432;0.005713886600916457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIZ;False;0.0037591826404307993;0.0037563159065676674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXIZ;True;0.0057167372083735315;0.005713886600916457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXI;False;0.003618104121776723;0.004840925920196045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXI;True;0.0022513443299183385;0.003169649951827363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXX;False;0.001171543843140743;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXX;True;0.0018468202322877165;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXY;False;0.001171543843140743;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXY;True;0.0018468202322877165;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXZ;False;0.0013852267325045887;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXXZ;True;0.000893130360866603;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYI;False;0.003618104121776723;0.0034663459595611536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYI;True;0.0022513443299183385;0.005401508783973505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYX;False;0.001171543843140743;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYX;True;0.0018468202322877165;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYY;False;0.001171543843140743;0.0014264452080154056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYY;True;0.0018468202322877165;0.0009219972117157396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYZ;False;0.0013852267325045887;0.0014264452080154056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXYZ;True;0.000893130360866603;0.0009219972117157396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZI;False;0.0034659534321512253;0.0034663459595611536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZI;True;0.00540051344007035;0.005401508783973505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZX;False;0.0013754633838556258;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZX;True;0.0008804357031913932;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZY;False;0.0013754633838556258;0.0014264452080154056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZY;True;0.0008804357031913932;0.0009219972117157396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZZ;False;0.0;0.0014264452080154056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXZZ;True;0.0;0.0009219972117157396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYII;False;0.007094113661316049;0.007094113661316049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYII;True;0.011942759695005382;0.011942759695005382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIX;False;0.0037357198838631448;0.0037591826404307993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIX;True;0.002339860450357432;0.0057167372083735315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIY;False;0.0037357198838631448;0.0037357198838631448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIY;True;0.002339860450357432;0.002339860450357432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIZ;False;0.0037591826404307993;0.0037357198838631448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYIZ;True;0.0057167372083735315;0.002339860450357432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXI;False;0.003618104121776723;0.0034659534321512253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXI;True;0.0022513443299183385;0.00540051344007035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXX;False;0.001171543843140743;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IYXX;True;0.0018468202322877165;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
