L,p,GHZ_success,N,success
8,0.006,1.1,10008.0,9728.0
8,0.0065,1.1,10008.0,9592.0
8,0.0066,1.1,10008.0,9566.0
8,0.0068,1.1,10008.0,9509.0
8,0.007,1.1,10008.0,9414.0
8,0.0075,1.1,10008.0,9057.0
12,0.006,1.1,10008.0,9838.0
12,0.0065,1.1,10008.0,9625.0
12,0.0066,1.1,10008.0,9588.0
12,0.0068,1.1,10008.0,9474.0
12,0.007,1.1,10008.0,9309.0
12,0.0075,1.1,10008.0,8810.0
16,0.006,1.1,10008.0,9872.0
16,0.0065,1.1,10008.0,9684.0
16,0.0066,1.1,10008.0,9622.0
16,0.0068,1.1,10008.0,9467.0
16,0.007,1.1,10008.0,9257.0
16,0.0075,1.1,10008.0,8567.0
20,0.006,1.1,10008.0,9927.0
20,0.0065,1.1,10008.0,9717.0
20,0.0066,1.1,10008.0,9643.0
20,0.0068,1.1,10008.0,9418.0
20,0.007,1.1,10008.0,9127.0
20,0.0075,1.1,10008.0,8147.0
